Name,Classification,Lat,Lng,Address,Contact ,Opening Day,Closing Day,Notes
Finlayson Point Provincial Park,Recreational,47.0569621,-79.8124993,"Temagami, ON",705 569 3205,May 18 2018,September 23 2018,"Please note that the mailing address for this site is as follows 24 Finlayson Park Road
Temagami
P0H 2H0"
Fitzroy Provincial Park,Recreational,45.4830577,-76.2206515,"5201 Canon Smith Dr, Fitzroy Harbour, ON K0A 1X0",613 623 5159,May 11 2018,October 9 2018,
Forks of the Credit Provincial Park,Natural Environment,43.8250745,-80.0063517,"17760 McLaren Rd, Caledon, ON L7K 2H8",705 435 2498,January 1 2018,December 31 2018,"Please note that the mailing address for this site is as follows Earl Rowe Provincial Park P.O. Box 872
Alliston
L9R 1W1"
French River Provincial Park,Waterway,45.9583214,-80.7829392,"20526 Highway 69, PO Box 9 Alban P0M 1A0",705 857 1630,April 27 2018,October 28 2018,Please note that the phone number for the winter season is as follows 705 287 2900
Frontenac Provincial Park,Natural Environment,44.5076754,-76.5553574,"6700 Salmon Lake Rd, Sydenham, ON K0H 2T0",613 376 3489,January 1 2018,December 31 2018,"Please note that the mailing address for this site is as follows P.O. Box 11 6700 Salmon Lake Rd.
Sydenham
K0H 2T0.  Also to note, if there is no one in the park office there is a self service station near the entrance that will accept cash only. "
Fushimi Lake Provincial Park,Recreational,49.7649624,-83.9732946,"Cochrane, Unorganized, North Part, ON",705 372 5909,May 18 2018,September 3 2018,"Please note that the mailing address for this site is as follows PO BOX 670, 613 Front Street
Hearst
P0L 1NO."
Grundy Lake Provincial Park,Natural Environment,45.9161442,-80.5617741,"Site #5, Compartment #4, 20400 Hwy. 522 RR #1 Britt P0G 1A0",705 383 2286,May 11 2018,October 9 2018,
Halfway Lake Provincial Park,Natural Environment,46.6191521,-81.4548878,"Windy Lake, ON P0M 2C0",705 965 2702,May 18 2018,September 23 2018,"Please note that the mailing address for this site is as follows P.O. Box 560, c/o Windy Lake Provincial Park Levack P0M 2C0 "
Inverhuron Provincial Park,Cultural Heritage,44.2997371,-81.6056014,"19 Jordon Rd., RR#2 Tiverton, ON N0G 2T0",519 368 1959,May 11 2018,October 9 2018,
Ivanhoe Lake Provincial Park,Natural Environment,48.1721496,-82.516213,"170 Ivanhoe Lake Road, Foleyet, ON P0M 1T0",705 899 2644,May 18 2018,September 3 2018,
John E. Pearce Provincial Park,Nature Reserve,42.6088128,-81.4545123,"29424 Lakeview Line, Wallacetown, ON N0L 2M0",519 874 4691,June 1 2018,October 8 2018,
Kakabeka Falls Provincial Park,Natural Environment,42.6160106,-81.4485258,"29424 Lakeview Line, Wallacetown, ON N0L 2M0",807 473 9231,May 18 2018,October 9 2018,"Please note that there is winter day access although the winter dates for 2018 have yet to be posted.  Also please note that the mailing address for this site is as follows Box 252
Kakabeka Falls, ON
P0T 1W0"
Kap-Kig-Iwan Provincial Park,Natural Environment,47.7953739,-79.8935813,"Englehart, ON P0J 1H0",705 544 1968,May 18 2018,September 23 2018,"Please note that the phone number for the summer season specifically is 705 544 2050. Also to note the mailing address for this site is as follows 2-4 Highway 11 South, PO Box 730 Cochrane P0L 1C0."
Kawartha Highlands Provincial Park,Natural Environment,44.7459558,-78.2375946,"106 Monck Street, Bancroft, ON K0L 1C0",613 332 3940,January 1 2018,December 31 2018,"Please note that the mailing address for this site is as follows 106 Monck Street,  Box 500 Bancroft, ON K0L 1C0"
Kettle Lakes Provincial Park,Recreational,48.5692927,-80.884068,"1350 Municipal Rd, Connaught, ON P0N 1A0",705 363 3511,May 18 2018 ,October 9 2018,Please note that to reach this site at winter the phone number is 705 272 7107.
Killarney Provincial Park,Wilderness,46.0130509,-81.4061325,"960 Highway 637, Killarney, ON P0M 2A0",705 287 2900,January 1 2018,December 31 2018,
Killbear Provincial Park,Natural Environment,45.355604,-80.2202367,"35 Killbear Park Rd, Killbear Park, ON P0G",705 342 5492,May 11 2018,October 28 2018,
Komoka Provincial Park,Recreational,42.9530357,-81.3883951,"503 Gideon Dr, London, ON N6K 4N8",519 874 4691,January 1 2018,December 31 2018,Please note that the mailing address for this site is as follows Port Burwell Provincial Park P.O. Box 9 Port Burwell NOJ 1TO
Lady Evelyn-Smoothwater Provincial Park,Wilderness,47.2145498,-80.4429256,"24 Finlayson Park Road, Temagami, ON P0H 2H0",705 569 3205,April 27 2018,October 28 2018,
Lake on the Mountain Provincial Park,Recreational,44.040126,-77.0607179,"296 County Rd 7, Prince Edward, ON K0K 2T0",613 393 3319,May 11 2018,October 8 2018,
Lake St. Peter Provincial Park,Recreational,45.3192535,-78.0416726,356 Lake St. Peter Road Lake St. Peter K0L 2K0,613 338 5312,May 11 2018,October 9 2018,
Lake Superior Provincial Park,Natural Environment,47.751072,-84.8446709," 96 Broadway Avenue, Wawa, ON P0S 1K0",705 856 2284,May 18 2018,October 9 2018,"Please note that the mailing address for this site is as follows PO Box 267 Wawa P0S 1K0.  Also to note that the summer visitor centre open from May to mid-October can be reached at 705 882 2026.  The dates listed are for summer camping, the back country dates are May 4 2018 - October 28 2018. "
Long Point Provincial Park,Recreational,42.5816683,-80.3995531,"350 Erie Blvd, Port Rowan, ON N0E 1M0",519 586 2133,May 11 2018,October 9 2018,"Please note that the mailing address for this site is as follows PO Box 99 350 Erie Blvd
Port Rowan, ON N0E 1M0"
MacGregor Provincial Point Park,Natural Environment,44.4135549,-81.462243,"1593 Bruce Road 33, Port Elgin, ON N0H 2C5",519 389 9056,January 1 2018,December 31 2018,
MacLeod Provincial Park,Recreational,49.7273464,-86.9537289,"Geraldton, ON P0T 1M0",807 854 0370,May 18 2018,September 23 2018,"Please note that the mailing address for this site is as follows MacLeod Provincial Park c/o Geraldton Community Forests Inc.
Box 400
Geraldton, ON
P0T 1M0"
Mara Provincial Park,Recreational,44.5875639,-79.3678111,"181 Courtland St, Longford Mills, ON L0K 1L0",705 326 4451,May 11 2018,September 3 2018,
Mark S. Burnham Provincial Park,Recreational,44.299921,-78.2716583,846 Highway 7 Peterborough K0L 1S0,705 799 5170,May 4 2018,October 28 2018,
Marten River Provincial Park,Recreational,46.7318801,-79.8066723,2860 Hwy 11 North Marten River P0H 1T0,705 892 2200,May 18 2018,September 23 2018,
McRae Point Provincial Park,Recreational,44.5680609,-79.3326046,"4366 McRae Park Rd, Longford Mills, ON L0K 1L0",705 325 7290,May 11 2018,October 9 2018,
Mikisew Provincial Park,Recreational,45.8249867,-79.5315175,"301 Park Rd S, South River, ON P0A 1X0",705 386 7762,June 15 2018,September 23 2018,
Misery Bay Provincial Park,Nature Reserve,45.795271,-82.7752939,"Evansville, ON P0P 1E0",705 966 2315,May 18 2018,September 3 2018,"Please note that the mailing address for this site is as follows P.O. Box 560, c/o Windy Lake Provincial Park
Levack
P0M 2C0"
Mississagi Provincial Park,Natural Environment,46.6006772,-82.7529078,"Hwy 639, Elliot Lake, ON",705 862 1203,May 18 2018,October 7 2018,"The phone number for this site from October to May is 705 865 2021. Please note that the mailing address for this site is as follows c/o Chutes Provincial Park P.O. Box 37, 660 Imperial Street North
Massey
P0P 1P0"
Mono Cliffs Provincial Park,Natural Environment,44.0477986,-80.1047219,"795122 3rd line, Orangeville, ON L9W 2Y8",705 435 2498,January 1 2018,December 31 2018,"Please note that the mailing address for this site is as follows c/o Earl Rowe Provincial Park P.O. Box 872
Alliston
L9R 1W1"
Murphy's Point Provincial Park,Natural Environment,44.7818674,-76.2462317,"2243 Elm Grove Rd, Perth, ON K7H 3C7",613 267 5060,May 11 2018,October 9 2018,"Please note that the dates posted are for summer camping season, the park is open during the winter for day time use but the hours have yet to be posted.  Please contact the site for more information. "
Nagagamisis Provincial Park,Natural Environment,49.3624098,-84.9608899,"Algoma, Unorganized, North Part, ON",807 868 2254,May 18 2018,September 23 2018,"Please note that the mailing address for this site is as follows PO BOX 670, 613 Front Street
Hearst
P0L 1N0"
Neys Provincial Park,Natural Environment,48.7702092,-86.6165596,"1004 Ontario 17, Terrace Bay, ON P0T 2W0",807 229 1624,May 18 2018,September 16 2018,"The number posted is for the spring/summer season, to reach the site during the winter season please phone 807 825 3403. Please note that the mailing address for this site is as follows P.O. Box 280, 1004 Hwy 17
Terrace Bay
P0T 2W0"
North Beach Provincial Park,Recreational ,43.9800029,-77.5388384,"440 North Beach Rd, Consecon, ON K0K 2T0",613 393 3319,June 8 2018,September 15 2018,If phoning after the third week of June until Labour Day please use the following number 613 399 2030.
Oastler Lake Provincial Park,Recreational,45.3086994,-79.9701103,"380 Oastler Park Dr, Parry Sound, ON P2A 2W8",705 378 2401,May 11 2018,October 9 2018,
Obabika River Provincial Park,Waterway,47.1406209,-80.3260297,24 Finlayson Park Road Temagami P0H 2H0,705 569 3205,April 27 2018,October 28 2018,
Ojibway Provincial Park,Natural Environment,49.9808835,-92.1577595,"Sioux Lookout, ON",807 737 2033 ,May 18 2018,September 3 2018,"The listed phone number is for the summer season only.  To reach this site during the winter please phone 807 223 7535. Please note that the mailing address for this site is as follows Box 730, 479 Government Street
Dryden
P8N 2Z4"
Ouimet Canyon Provincial Park,Nature Reserve,48.7895174,-88.7063189,"Greenwich Lake Rd, Pass Lake, ON P0T 2M0",807 977 2526,May 18 2018,October 8 2018,"Please note that the mailing address for this site is as follows Ouimet Canyon Provincial Park c/o Sleeping Giant Provincial Park R.R. #1
Pass Lake
P0T 2M0"
Oxtongue River-Ragged Falls Provincial Park,Waterway,45.3906744,-78.9430072,"Dwight, ON P0A 1H0",705 789 5105,May 11 2018,October 28 2018,"Please note that the mailing address for this site is as follows Arrowhead Provincial Park RR# 3
Huntsville
PIH 2J4"
Pakwash Park,Natural Environment,50.791186,-93.52176,"479 Government St, Dryden, ON P8N 2Z4",807 222 3346 ,May 18 2018,September 16 2018,"Please note that the mailing address for this site is as follows Box 730, 479 Government Street
Dryden
P8N 2Z4"
Pancake Bay Provincial Park,Recreational,46.962028,-84.6891856,"12729 Hwy 17N, PO Box 61, Batchawana Bay, ON P0S 1A0",705 882 2209,May 4 2018,October 9 2018,
Petroglyphs Provincial Park,Cultural Heritage,44.6215628,-78.0790383,"2249 Northeys Bay Rd, Woodview, ON K0L 3E0",705 877 2552,May 11 2018,October 8 2018,
Pigeon River Provincial Park,Natural Environment,48.003692,-89.580631,"High Falls Trail, South Gillies, ON P0T 2V0",807 473 9231,January 1 2018,December 31 2018,"Please note that the mailing address for this site is as follows c/o Kakabeka Falls, Box 252
Kakabeka Falls
P0T 1W0"
Pinery Provincial Park,Natural Environment,43.2543966,-81.8415409,"9526 Lakeshore Rd, Grand Bend, ON N0M 1T0",519 243 2220,January 1 2018,December 31 2018,
Point Farms Provincial Park,Recreational,43.8013593,-81.7097191,"82491 Bluewater Hwy, Goderich, ON N7A 3X9",519 524 7124,May 11 2018,October 9 2018,
Port Bruce Provincial Park,Recreational,42.6547998,-81.0218116,"3360 Imperial Rd, Aylmer, ON N5H 2R2",519 874 4691,June 1 2018,September 3 2018,
Port Burwell Provincial Park,Recreational,42.6466259,-80.8155413,"9 Wilson Ln, Port Burwell, ON N0J 1T0",519 874 4691,May 11 2018,October 9 2018,
Potholes Provincial Park,Nature Reserve,47.8501238,-83.4060345,"190 Cherry St, Chapleau, ON P0M",705 864 3114,June 8 2018,September 3 2018,
Presqu'ile Provincial Park,Natural Environment,44.0098045,-77.7464191,"328 Presqu'Ile Pkwy, Brighton, ON K0K 1H0",613 475 4324,April 27 2018,October 9 2018,Please note that the dates posted represent the summer camping season.  The park is open for day use all year round.  
Quetico Provincial Park,Wilderness,48.6749686,-91.134753,108 Saturn Ave.  Box 2430 Atikokan P0T 1C0,807 597 2735,May 18 2018,October 9 2018,Please note that the dates listed are for the summer camping season.  The park is open all year round for back country camping.
Rainbow Falls Provincial Park,Recreational,48.8384527,-87.4799198,PO Box 280 1004 Hwy 17 Terrace Bay P0T 2W0,807 824 2298,May 18 2018,October 8 2018,Please note that the dates listed are for the Whitesand Lake day use. The Rossport and Whitesand Lake camp ground open on the same day but close October 9 2018 and September 16 2018 respectively.   
Rene Brunelle Provincial Park,Recreational,49.4546591,-82.1725567,"PO BOX 670, 613 Front Street Hearst ON P0L 1N0",705 367 2692,May 18 2018,September 3 2018,Please note that the dates posted represent the summer camping season.  The park is open for day use throughout the winter. 
Restoule Provincial Park,Natural Environment,46.0732892,-79.8006515,"8818 Highway 534, Restoule, ON P0H 2R0",705 729 2010,May 18 2018,October 9 2018,Please note that the dates listed are for the summer camping season.  The park will be open April 13 2018 until November 25 2018 for day use.  
Rideau River Provincial Park,Recreational,45.0599847,-75.6794887,2680 Donnelly Drive Kemptville K0G 1J0,613 258 2740,May 11 2018,September 16 2018,
Rock Point Provincial Park,Recreational,42.8491529,-79.5606744,"215 Niece Rd, Dunnville, ON N1A 2X5",905 774 6642,May 11 2018,October 9 2018,
Rondeau Provincial Park,Natural Environment,42.317364,-81.8558574,"18050 Rondeau Park Road, Morpeth, ON N0P 1X0",519 674 1750,April 6 2018,October 28 2018,Please note that the dates posted are for the summer camping season. The park is open all year round for day use. 
Rushing River Provincial Park,Recreational,49.6869116,-94.2326928,PO Box 5080 Kenora ON P9N 3X9,807 548 4351,May 18 2018,September 16 2018,Please note that the dates posted are for the summer camping season. The park is open all year round for day use. 
Samuel de Champlain Provincial Park,Natural Environment,46.2839046,-78.8587874,"6905 Hwy 17, Mattawa, ON P0H 1V0",705 744 2276,May 18 2018,October 9 2018,
Sandbanks Provincial Park,Natural Environment,43.9073606,-77.2442,"3004 County Road 12, Picton, ON K0K 2T0",613 393 3319,April 27 2018,October 9 2018,
Sandbar Lake Provincial Park,Natural Environment,49.4675883,-91.5629468,"ON-599, Ignace, ON P0T 1T0",807 943 2995 ,May 18 2018,September 16 2018,"Please note the phone number listed is for the summer season, for the winter season please phone 807 223 7535. Also note the mailing address for this site is as follows Box 730, 479 Government Street Dryden ON  P8N 2Z4"
Sauble Falls Provincial Park,Recreational,44.6731498,-81.2660101,"1400 Sauble Falls Rd, Wiarton, ON N0H 2T0",519 422 1952,April 27 2018,October 28 2018,
Selkirk Provincial Park,Recreational,42.8158078,-79.9666364,"151 Wheeler’s Sideroad, Selkirk, ON N0A 1P0",905 776 2600,May 11 2018,September 3 2018,
Sharbot Lake Provincial Park,Recreational,44.7739187,-76.7334895,"25467 Hwy 7, Sharbot Lake, ON K0H 2P0",613 335 2814,May 11 2018,September 23 2018,
Sibbald Point Provincial Park,Recreational,44.3219602,-79.3429463,"26071 Park Rd, Jacksons Point, ON L0E 1L0",905 722 8061,May 11 2018,October 9 2018,Please note that the dates posted represent the summer camping season.  The park is open for day use throughout the winter. 
Silent Lake Provincial Park,Natural Environment,44.9231995,-78.0799732,"1589 Silent Lake Park Road, Bancroft, ON K0L 1C0",613 339 2807,May 11 2018,October 9 2018,Please note that the dates posted are for summer camping use.  The park is also open throughout the winter selectively for camping.
Silver Lake Provincial Park,Recreational,44.832037,-76.5808504,"22726 ON-7, Maberly, ON K0H 2B0",613 268 2000,May 17 2018,September 9 2018,
Sioux Narrows Provincial Park,Recreational,49.4108364,-94.1002157,"ON-71, Sioux Narrows, ON P0X 1N0",807 226 5223,May 18 2018,September 9 2018,Please note that the number listed is for May to September.  To reach the park outside of these months please phone 807 226 5241 or 807 468 2669. Also to note the mailing address for this site is as follows PO Box 5080 Kenora ON P9N 3X9
Six Mile Lake Park,Recreational,44.8888186,-79.7585885,"2024 Joe King's Rd, Port Severn, ON L0K 1S0",705 756 2746,May 11 2018,October 9 2018,
Sleeping Giant Provincial Park,Natural Environment,48.360165,-88.798065,"R R 1, Pass Lake, ON P0T 2M0",807 977 2526,May 18 2018,October 9 2018,Please note the dates posted are for summer camping season only.  The park is open year round for day use.
Spanish River Provincial Park,Waterway,46.411881,-81.844265,"Sudbury, Unorganized, North Part, ON",705 865 2021,May 4 2018,October 8 2018,"Please note the mailing address for this site is as follows c/o Chutes Provincial Park P.O. Box 37, 660 Imperial Street North
Massey
P0P 1P0"
Springwater Provincial Park,Recreational,44.44442,-79.7611552,"1331 ON-26, Midhurst, ON L0L 1X0",705 728 7393,January 1 2018,December 31 2018,
Sturgeon Bay Provincial Park,Recreational,45.62355,-80.41577,"203 Hwy 529, Pointe au Baril, ON P0G 1K0",705 366 2521,May 11 2018,October 9 2018,
The Massasauga Provincial Park,Natural Environment,45.3086994,-79.9701103,"380 Oastler Park Dr, Parry Sound, ON P2A 2W8",705 378 2401,April 27 2018,October 28 2018,
Tidewater Provincial Park,Natural Environment,51.22,-80.65,"Moosonee, ON P0L 1Y0",705 272 7107,June 23 2018,September 3 2018,"Please note that the mailing address for this site is as follows 2 – 4 Highway 11 South
Cochrane
P0L 1C0"
Turkey Point Provincial Park,Recreational,42.700398,-80.329666,"194 Turkey Point Rd, Turkey Point, ON N0E 1T0",519 426 3239,May 11 2018,October 9 2018,
Voyageur Provincial Park,Recreational,45.55561,-74.4449,"1313 Front Rd, Chute-à-Blondeau, ON K0B 1B0",613 674 2825,May 11 2018,October 9 2018,Please note that the dates posted are for the summer camping season.  The park is open throughout the winter for day use. 
Wabakimi Provincial Park,Wilderness,50.59,-89.55,"Unorganized Thunder Bay District, ON",807 473 3031,January 1 2018,December 31 2018,
Wakami Lake Provincial Park,Recreational,47.555031,-82.873044,"Sultan, ON P0M 2Z0",705 233 2853,May 11 2018,September 23 2018,"Please note that the mailing address for this site is as follows 190 Cherry Street
Chapleau
P0M 1K0"
Wasaga Beach Provincial Park,Recreational,44.520599,-80.020788,"11 22nd St N, Wasaga Beach, ON L9Z 2V9",705 428 2516,April 1 2018,October 8 2018,"Please note the dates posted are for the summer season, the beach is also accessible through the winter. "
Wheatley Provincial  Park,Recreational,42.090666,-82.442196,"21116 Klindyke Rd S, Chatham-Kent, ON N0P 2P0",519 825 4659,April 13 2018,October 9 2018,
White Lake Provincial Park,Natural Environment,48.713534, -85.649972,"Unnamed Road,, Mobert, ON P0M 2J0",807 822 2447,May 18 2018,September 23 2018,
Windy Lake Provincial Park,Recreational,46.61996848,-81.45770073,"Onaping, ON P0M 2R0",705 966 2315,May 18 2018,September 3 2018,"The dates posted are for the summer camping season.  The park is also open for winter camping on selective dates. Please note that the mailing address for this site is as follows P.O. Box 560, c/o Windy Lake Provincial Park Levack P0M 2C0."
Woodland Caribou Provincial Park,Wilderness,51.07764539,-94.82025146,"227 Howey St, Red Lake, ON P0V 2M0",807 727 1329,January 1 2018,December 31 2018,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
